City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
229,Laguna,US,87.08,clear sky,38.42,-121.42,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
232,Asau,RO,81.52,clear sky,46.43,26.4,Casa Mika Ciobanus
236,Agar,IN,78.73,overcast clouds,23.7,76.02,Bherav Mandir
240,Victoria,HK,87.33,clear sky,22.29,114.16,Mini Central
249,Axim,GH,78.51,scattered clouds,4.87,-2.24,Axim Beach Resort And Spa
256,Pundaguitan,PH,81.63,light rain,6.37,126.17,Leonardo Family Beach House 1
263,Luleburgaz,TR,83.52,clear sky,41.4,27.36,alparslan rant a car
264,Kavieng,PG,80.94,light rain,-2.57,150.8,Nusa Island Retreat
265,Dongsheng,CN,77.25,overcast clouds,39.82,109.98,Crowne Plaza Ordos
273,Aracati,BR,83.8,overcast clouds,-4.56,-37.77,Hostel Pousada Ibiza
274,Gairo,IT,85.17,clear sky,39.85,9.5,La Nuova Luna
278,Daru,PG,76.15,broken clouds,-9.08,143.21,Daru Lodge
280,Fare,PF,76.17,clear sky,-16.7,-151.02,Maitai Lapita Village Huahine
281,Cockburn Town,TC,85.96,scattered clouds,21.46,-71.14,Osprey Beach Hotel
287,Santiago Del Estero,AR,76.77,scattered clouds,-27.8,-64.26,Apartamentos Castelli 90
288,Biak,ID,75.52,scattered clouds,-0.91,122.88,Penginapan Kim
289,Del Rio,US,87.24,overcast clouds,29.36,-100.9,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
291,Erzin,TR,81.52,clear sky,36.96,36.2,Artemis Otel
296,Zaria,NG,85.32,scattered clouds,11.11,7.72,A.B.U Hotels
298,Sungairaya,ID,78.89,broken clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
299,Marquette,US,76.44,clear sky,46.53,-87.63,Al Quaal Lodge
302,Conner,PH,76.84,broken clouds,17.8,121.33,Guryo V.
306,Meulaboh,ID,78.49,moderate rain,4.14,96.13,Kost Pria
308,Mucurapo,TT,86.25,few clouds,10.67,-61.53,Courtyard by Marriott Port of Spain
309,Tautira,PF,75.13,light rain,-17.73,-149.15,Pension Oaoa
312,Touros,BR,82.58,broken clouds,-5.2,-35.46,INN NEW HORIZON
314,Laramie,US,83.53,clear sky,41.31,-105.59,Fairfield Inn & Suites by Marriott Laramie
316,Srivardhan,IN,79.77,overcast clouds,18.03,73.02,Savli Resort/Hotel - Shrivardhan
317,Bumba,CD,78.75,overcast clouds,2.18,22.47,Père Carlos
318,Sulangan,PH,84.72,overcast clouds,11.14,123.72,Maia's Beach Resort
321,Totness,SR,83.8,few clouds,5.88,-56.32,STAATS LOGEERGEBOUW TOTNESS
326,Daliang,CN,86.58,clear sky,22.85,113.25,Shunde New World Hotel
328,Pudozh,RU,77.09,few clouds,61.81,36.53,Guest-House na Transportnoy
336,Kati,ML,81.81,light rain,12.74,-8.07,MAISON DES JEUNES ET DE LA CULTURE DE KATI
337,Vila,PT,82.71,clear sky,42.03,-8.16,Hotel Castrum Villae by Walk Hotels
341,Aksu,CN,83.7,clear sky,41.12,80.26,Pudong Holiday Hotel
342,Road Town,VG,80.69,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
343,Terme,TR,76.93,few clouds,41.21,36.97,OTEL GÜVEN TERME
349,Padang,ID,77.67,overcast clouds,-0.95,100.35,Mercure Padang
350,Shingu,JP,77.77,broken clouds,33.73,135.98,Shingu UI Hotel
351,Cartagena,CO,82.02,broken clouds,10.4,-75.51,Hotel Colombia Real - Cartagena
352,Elizabeth City,US,87.82,few clouds,36.29,-76.25,Hampton Inn Elizabeth City
361,Mlonggo,ID,77.95,broken clouds,-6.53,110.7,Asia Metal Art
362,Ofaqim,IL,82.71,clear sky,31.31,34.62,The Negev Experience
363,Gusau,NG,83.64,broken clouds,12.16,6.66,GUEST INN
366,Bud,US,86.32,clear sky,39.45,-86.18,Ted McQuinn Trust
367,Aquiraz,BR,86.45,overcast clouds,-3.9,-38.39,Hotel Laguna Blu
369,Fomboni,KM,75.96,clear sky,-12.28,43.74,Auberge les abou
370,Kulu,TR,76.14,clear sky,39.1,33.08,Kapadokya Motel
371,San Cristobal,VE,78.98,overcast clouds,7.77,-72.22,Pirineos
374,Tabou,CI,77.5,broken clouds,4.42,-7.35,hotêl doufoulougou
375,Marandahalli,IN,80.11,heavy intensity rain,12.4,78.0,NR BIRIYANI
376,Mitsamiouli,KM,77.29,few clouds,-11.38,43.28,Foyer ADM
378,Sainte-Rose,GP,86.04,overcast clouds,16.33,-61.7,Habitation du Comté - Hotel à Sainte-Rose
380,Medicine Hat,CA,75.22,few clouds,50.05,-110.67,Ramada Limited Medicine Hat
381,Kalmunai,LK,81.01,few clouds,7.42,81.82,VS Villa
382,Namatanai,PG,78.73,light rain,-3.67,152.43,Seagulls Inn Namatani
383,Carballo,ES,78.22,broken clouds,43.21,-8.69,Pazo do Souto
385,Saint-Francois,FR,83.64,clear sky,46.42,3.91,Manoir Du Bonheur
386,Praya,CV,82.94,broken clouds,14.92,-23.51,LT Aparthotel
388,Yima,CN,76.82,broken clouds,34.74,111.88,Yima Hotel
394,Labuhan,ID,75.83,broken clouds,-6.88,112.21,DoubleFAG
395,Sola,VU,80.6,few clouds,-13.88,167.55,Ulkel Guest House
398,Kupang,ID,75.04,scattered clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
401,Acapulco,MX,87.62,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
405,Malanje,AO,78.3,broken clouds,-9.54,16.34,Hotel Ginga
406,Wajid,SO,80.98,scattered clouds,3.81,43.25,xamdihotelresturant114
407,Itarema,BR,87.33,broken clouds,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
411,Arraial Do Cabo,BR,76.96,scattered clouds,-22.97,-42.03,Pousada Porto Praia
413,San Jose,US,76.91,scattered clouds,37.34,-121.89,The Westin San Jose
418,Lorengau,PG,80.28,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
425,Sao Joao Da Barra,BR,78.89,few clouds,-21.64,-41.05,Pousada Porto De Canoas
427,San Andres,CO,86.02,scattered clouds,12.58,-81.7,Hotel Arena Blanca
430,Kavaratti,IN,80.98,overcast clouds,10.57,72.64,Dharul Hudha
431,Hambantota,LK,79.54,moderate rain,6.12,81.12,Bungalow 63
432,Wanxian,CN,78.51,overcast clouds,30.8,108.39,7Days Inn Chongqing Shiqiaopu
434,Salalah,OM,77.09,overcast clouds,17.02,54.09,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
439,Olinda,BR,76.73,broken clouds,-8.01,-34.86,Hotel 5 Sóis
440,Pucallpa,PE,86.04,scattered clouds,-8.38,-74.55,Hotel Sol de Oriente - Pucallpa
443,Noumea,NC,75.99,few clouds,-22.28,166.46,Hôtel Le Lagon
445,Bubaque,GW,78.48,overcast clouds,11.28,-15.83,"Casa Dora, Bubaque"
452,Ternate,ID,79.77,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
453,Chase,CA,76.08,broken clouds,50.82,-119.69,Chase Country Inn Motel
455,Wukari,NG,78.22,light rain,7.85,9.78,Elimtop
456,Gizo,SB,81.46,light rain,-8.1,156.84,Imagination Island
457,Muisne,EC,75.11,overcast clouds,0.6,-80.03,Quinta Samay
479,Auki,SB,76.77,overcast clouds,-8.77,160.7,Auki Motel
480,Myitkyina,MM,77.41,light rain,25.38,97.4,Shwe Phyu Hotel
483,Palmas Bellas,PA,79.59,overcast clouds,9.23,-80.09,Antigua Residencia Galván
484,Natal,BR,84.42,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
493,Manadhoo,MV,81.95,overcast clouds,5.77,73.38,Bon Abri maldives
497,Hailey,US,82.8,clear sky,43.52,-114.32,Wood River Inn & Suites
498,Kpandae,GH,82.74,broken clouds,8.47,-0.01,S. Amaski Guest House
500,Kieta,PG,79.29,overcast clouds,-6.22,155.63,Uruna Bay Retreat
503,Archidona,ES,75.4,clear sky,37.1,-4.39,Hotel Escua
504,Saint-Prosper,CA,86.29,overcast clouds,46.21,-70.48,Residence Beau Séiour
514,Asfi,MA,79.32,clear sky,32.3,-9.24,Hôtel Abda
515,Fengrun,CN,75.06,clear sky,39.83,118.12,Super 8 Tangshan North Railway Station Tangfeng Road
516,Bilisht,AL,84.94,clear sky,40.63,20.99,Hotel kelva
517,Oxford,GB,75.38,broken clouds,51.75,-1.26,Malmaison Oxford
518,Anqing,CN,81.55,broken clouds,30.51,117.05,Hongtian Hotel
525,Vyartsilya,RU,78.62,few clouds,62.18,30.69,Erakkoranta
526,Trairi,BR,82.98,overcast clouds,-3.28,-39.27,janelas do mar
530,Kouroussa,GN,78.76,light rain,10.65,-9.88,Hotel Paillote
